scaffold,coverage,stdev
1,3.7346,3.50343
2,0.00190117,0.0761131
3,4.86509,3.95426
4,11.4838,7.39427
5,23.5889,12.8528
6,5.29494,3.40419
7,19.3184,11.9523
8,494.176,253.974
9,451.472,205.254
10,4.30269,3.41688
11,8.79259,6.30913
12,5.32185,3.54401
13,472.835,203.374
14,5.31246,3.14447
15,420.129,181.365
16,6.27486,3.6889
17,5.97027,3.57679
18,0.00437069,0.132081
19,3.53089,3.06364
20,0,0
21,5.39592,3.45171
22,0,0
23,0.00150947,0.0496526
24,12.9574,8.53818
25,0,0
26,5.9503,3.87507
27,0.0267978,0.261544
28,22.0137,11.9178
29,5.59988,3.42139
30,10.9578,7.04403
31,5.40597,3.19219
32,388.805,219.643
33,5.09365,3.47039
34,12.1752,7.00012
35,24.2973,14.2147
36,22.939,12.5878
37,21.2969,13.8566
38,23.0497,12.3159
39,23.4167,13.5114
40,3.26734,3.03729
41,5.17751,3.94822
42,5.05808,3.08355
43,4.32781,3.59233
44,11.8054,6.43082
45,21.461,11.2141
46,3.92489,3.18004
47,0,0
48,12.9475,7.70854
49,5.81794,3.20338
50,23.9732,12.1718
51,12.1163,8.23047
52,440.151,208.894
53,0,0
54,11.5156,6.49413
55,10.2274,6.70584
56,23.146,11.7423
57,4.60025,3.63264
58,12.4788,6.87902
59,5.73186,3.37508
60,0,0
61,5.60654,4.09529
62,25.1438,12.5505
63,18.8546,9.9538
64,6.16547,3.2023
65,0.0141783,0.190453
66,12.5179,8.2614
67,19.7355,11.0941
68,10.7783,6.32338
69,372.873,194.624
70,2.91622,2.77397
71,4.14592,3.8005
72,25.0272,11.944
74,13.6509,7.92196
75,11.4135,6.90992
76,3.05813,3.38801
77,397.846,212.701
78,11.2278,7.40624
79,3.62056,3.39981
80,27.5017,12.388
81,23.5571,13.2932
82,20.0728,10.939
83,8.17897,6.18779
84,468.871,211.63
85,11.6975,7.72563
86,11.5378,6.69709
87,3.14761,3.0475
88,5.7672,3.49442
90,3.99811,3.2607
91,11.3155,6.9432
92,3.67409,3.44661
93,3.50743,3.10618
94,20.9602,11.8227
96,452.294,232.046
97,24.1287,12.3227
98,26.6617,12.8277
99,12.8329,7.9488
100,0.00235999,0.0678637
101,21.1198,11.6229
102,24.1591,13.2595
103,20.6981,11.0167
104,14.8447,7.85021
105,3.97357,3.59918
107,429.505,209.643
108,6.14994,3.68833
109,0.0464248,0.396805
110,21.5997,10.6444
111,0.00670202,0.103336
112,14.2804,8.21554
113,21.0499,11.8858
115,12.1852,8.48886
116,24.6365,12.3768
117,3.15693,3.1817
118,386.478,197.628
119,351.956,219.281
121,12.1861,7.26914
122,3.61975,3.3106
123,5.72069,4.36773
124,0,0
125,3.9441,2.81708
126,25.2172,14.3323
128,8.70415,6.58048
130,2.88733,2.86062
132,10.8724,6.45168
133,3.53653,3.53229
137,0,0
138,3.33011,2.9867
139,379.016,158.467
140,4.24395,3.73091
142,3.5925,3.37779
143,2.80085,2.95853
144,22.7367,12.8337
145,12.1391,6.49186
147,21.8422,12.8016
148,328.515,200.451
150,0,0
152,0,0
153,11.8152,6.95603
154,22.8119,12.7645
155,6.90786,4.09851
157,24.1301,10.8342
158,0,0
159,0,0
160,11.8304,6.33125
161,5.98643,3.61732
164,13.1567,7.44011
165,5.68444,3.57142
166,5.11334,3.6402
168,4.43285,3.23516
170,12.1425,7.62988
172,10.8795,6.92492
174,24.8447,12.0867
176,22.0661,10.4025
177,0,0
178,18.7754,10.4339
179,489.475,193.308
180,12.2325,7.06522
183,4.37674,3.31005
184,144.003,72.3026
185,3.72097,3.13977
186,7.7306,6.1616
187,408.102,211.416
189,12.3729,7.84447
190,4.22614,3.22303
193,10.222,6.18893
195,10.6707,6.62811
196,27.9588,10.9161
197,10.9669,6.95203
199,5.10872,5.27621
201,13.4512,7.87288
203,11.1398,7.53545
204,21.0344,12.2107
205,24.5429,11.0123
206,21.8575,14.1892
207,22.0618,12.7702
209,5.81296,3.67381
210,0,0
211,0.0022537,0.0474197
212,20.1853,9.77502
213,15.4958,10.228
216,15.1746,8.52234
217,25.0256,12.4159
218,4.23665,3.97497
219,4.81602,4.24476
220,23.1743,12.0694
223,20.7781,10.8415
226,17.2403,8.6632
228,10.3155,6.59539
230,23.668,13.6562
233,25.0136,11.6388
235,3.51368,3.18951
237,23.0714,11.5371
239,11.5103,7.02734
241,12.1066,7.85124
242,2.91542,3.27984
243,31.2851,16.8772
244,19.8253,11.2486
246,3.08079,2.89734
248,16.5932,10.1109
249,11.3798,5.5295
252,27.2148,14.9765
253,22.9734,13.5945
256,3.59814,3.0073
258,2.83904,2.41495
261,4.0185,3.69233
263,3.19147,2.6255
264,23.2831,11.1828
265,8.8507,5.98863
266,2.96851,3.25086
267,11.7161,6.39624
269,4.53564,5.38089
271,6.50432,5.31371
272,8.79046,4.74452
273,4.35319,4.11128
278,12.8247,6.13129
279,23.8094,17.2502
280,9.18944,6.93271
281,3.70719,3.09834
282,4.1872,3.06994
284,3.09702,2.9266
288,2.73551,2.12847
291,490.308,225.909
292,12.7485,7.60596
294,23.26,11.3244
296,5.02546,4.05414
299,2.68286,2.83354
300,16.3241,13.6157
304,23.96,11.9408
305,11.1376,7.67187
307,13.7639,6.71479
308,12.4944,7.56526
315,5.29162,3.40906
316,3.32496,3.25866
317,3.21984,2.84718
324,5.23832,3.68999
326,348.934,243.872
327,4.36907,3.34528
330,9.10643,5.57741
336,25.9175,10.2571
339,98.8434,48.7428
344,12.6252,6.94379
346,17.2213,9.4759
347,56.3905,38.5507
348,11.0637,6.302
351,11.0729,5.94375
353,19.0777,10.3167
355,2.79296,4.28044
356,10.9746,6.8373
360,3.93147,4.66995
362,356.478,187.435
370,17.2741,10.6786
372,11.9909,6.35895
375,22.9221,14.6043
376,8.46364,5.35345
377,21.7613,10.6324
