scaffold1	scaffold2	connections
11826	3735	4
424	466	249
7263	7453	33
243	392	25
2812	395	18
390	698	25
10079	2090	6
10963	7	18
304	840	7
36	7384	19
2647	886	2
1026	10797	82
2142	317	19
308	534	22
12	166	4
284	4596	15
4431	77	439
13396	3598	3
406	6129	40
2271	2874	7
2869	838	8
1	61	7
196	233	5
565	787	415
1996	751	31
3306	772	2
12227	137	16
3439	5586	38
3656	542	2
145	1847	36
2266	3598	19
336	35	12
1534	2271	10
13334	2729	13
19	57	12
2834	905	17
360	971	2
4952	7700	4
353	6826	12
13636	438	75
1639	3879	2
11789	1233	83
144	8896	14
261	854	23
10699	3368	15
10221	2948	4
2056	389	2
385	786	27
196	81	2
3237	66	21
5829	969	33
4450	4762	2
1117	239	6
11089	841	52
643	82	6
10699	13714	59
382	464	27
137	22	32
2065	2076	13
11498	434	17
155	1674	8
4431	6884	92
1404	1493	31
11498	94	18
1078	1106	13
6826	98	9
12518	3828	22
11789	2	8
2313	9802	4
2817	381	3
1352	6422	6
3852	4553	16
10200	327	21
351	5449	11
3328	954	5
2649	65	2
392	3943	6
10438	72	22
1326	4046	22
4067	756	34
1162	2267	24
1052	261	20
104	10506	10
2451	9576	30
142	4010	25
1120	8040	13
279	279	2
2315	499	2
264	304	8
542	5435	13
10963	98	12
5	6193	13
2090	3398	58
5423	9554	286
4326	7280	4
11789	6129	191
1800	585	30
45	9326	34
1380	6176	34
57	6884	4
12981	2736	13
12610	3064	27
2002	458	19
239	3331	7
2750	65	20
1639	2869	6
116	6826	15
264	8896	10
10438	233	29
10506	74	23
10438	7125	4
534	784	7
11380	90	4
197	2271	2
1005	1564	19
10438	713	14
11789	2649	28
11728	3128	15
5787	6971	47
168	2513	40
1031	13	125
1643	246	21
347	84	35
2325	248	2
3533	51	2
1828	2100	14
4186	883	40
625	90	3
2011	4880	33
1348	5044	28
10797	17	81
372	5847	23
339	565	198
11789	406	144
1196	1367	18
139	9	593
1412	330	28
119	466	508
2651	3306	3
3924	7486	25
6187	8063	29
10438	7933	243
391	8131	11
172	201	30
190	87	33
10725	4741	5
370	9326	9
1221	292	5
2181	3980	2
3819	486	3
243	3014	17
1120	1534	9
4186	5538	25
10290	8952	119
170	216	17
14405	3929	2
4027	4236	82
299	5137	19
128	34	18
1028	11306	18
11044	1552	17
2470	635	13
1097	406	8
9	96	72
77	917	50
1795	4326	3
60	9576	32
13752	2294	6
6193	791	28
2874	5442	14
13396	3952	7
3707	3929	45
11175	2806	4
11851	1206	21
63	7125	4
11498	220	30
19	1903	30
4995	8279	12
2090	2817	2
1156	6986	29
211	9576	36
355	542	12
10438	157	2
105	1108	8
2649	435	18
344	972	6
14405	954	2
1432	15	261
128	74	2
1701	739	2
13504	235	14
11175	5092	6
1757	243	8
2673	3574	13
2100	2817	3
1316	3574	6
112	189	4
4279	6129	9
7486	929	26
157	82	6
1828	9267	20
10506	153	19
1242	52	241
1327	3917	5
13396	1853	5
1081	6297	33
133	3132	5
2716	6757	2
2078	267	8
11044	751	28
3362	9554	406
4590	6970	25
12486	62	18
3852	6999	3
1242	69	352
2027	846	13
2511	5441	14
16	890	10
304	990	6
3813	5044	35
440	5423	2
3398	6757	4
4027	5297	17
11966	8212	2
1318	5112	9
2099	2812	23
115	91	3
2138	3206	51
2736	5538	3
10713	3707	2
179	281	25
2065	207	14
3398	3755	9
210	3084	18
253	2646	17
14354	83	88
1701	1903	5
38	392	2
12228	93	31
466	657	487
12594	4952	27
10699	657	258
3929	687	4
1196	273	18
217	8479	20
1117	8961	4
397	5533	7
1317	5435	6
212	6826	14
10079	667	4
3679	82	2
1208	3809	12
107	4646	2
3598	3992	5
305	4995	8
1113	3069	79
2090	3819	12
1130	130	4
699	77	38
1338	687	8
206	82	4
5304	5442	15
24	83	7
101	7384	16
112	376	7
10079	9267	22
390	3924	16
10438	449	9
13504	1427	21
3819	9577	2
3929	7027	3
2649	7955	24
11789	12227	7
10438	840	4
3556	3879	7
565	848	164
273	486	3
2476	3666	5
395	6784	15
402	679	22
1130	291	195
1542	6129	9
1119	1302	6
3408	4826	5
1015	54	2
14580	8	2
105	183	17
1410	2457	25
12610	199	17
1209	1817	40
569	865	2
1247	1790	27
2511	3444	20
421	7933	2
11498	98	21
3735	8675	23
10506	3533	19
107	52	501
1367	3150	21
2911	815	26
39	7933	21
1552	985	4
17	64	4
2942	802	5
1807	577	15
3409	8212	4
3234	5580	39
11789	6724	2
248	594	5
10797	21	51
3014	82	6
11936	675	14
12518	5382	7
4031	669	2
10438	4353	3
1536	9326	12
3398	9267	4
10139	515	80
427	4880	57
2003	4167	30
3679	7933	22
