Name,Average.coverage,Reference.length
746,0.862,11004
751,0.841,11161
754,0.643,9192
756,0.819,10845
764,0.790,381
769,19.078,10981
772,23.908,10927
777,0.764,10381
779,0.206,1469
781,0.061,9837
783,0.330,10254
784,1.030,10554
786,1.079,10838
787,0.700,10467
788,0.283,4139
789,20.032,10833
791,0.192,9418
798,31.331,10754
802,0.770,10535
803,0.615,10526
807,0.021,7090
812,0.184,8199
814,0.597,9154
815,0.573,10491
828,0.819,10458
830,0.083,7293
831,27.139,10434
832,0.255,3545
835,0.387,8735
838,35.216,10283
840,0.105,8572
841,84.625,10240
846,0.786,9836
848,0.946,10155
854,0.205,1465
862,0.479,9629
864,24.073,9986
865,0.208,8670
867,0.620,9472
872,29.342,9942
883,1.125,9228
884,1.210,8710
886,0.201,8255
887,0.751,9624
890,43.438,9711
892,0.796,9440
893,0.806,9691
896,0.423,9630
899,0.541,9470
903,1.107,9029
908,1.229,240
910,1.063,9182
917,0.364,8261
918,0.653,9417
920,0.325,7862
930,0.828,9048
933,0.110,2741
935,1.022,8694
940,34.385,9336
946,49.991,9300
947,0.035,8665
954,30.767,9217
955,29.242,9214
959,26.724,9199
969,1.075,8426
972,1.032,9144
975,0.181,5004
977,0.236,5897
979,78.250,9074
983,0.146,5131
985,0.666,8975
988,0.432,6554
1007,0.260,6749
1011,0.037,8078
1015,0.358,8400
1016,22.088,8798
1021,0.381,8733
1026,56.317,8730
1028,0.983,8661
1030,0.720,8544
1031,0.041,8447
1035,0.267,8421
1036,54.295,8635
1041,1.087,8530
1042,1.026,8505
1043,24.880,8575
1048,0.851,7060
1055,25.732,8521
1065,93.183,8468
1068,0.037,8230
1071,0.100,6030
1073,26.590,8371
1078,0.749,8337
1090,43.872,8223
1091,0.045,6695
1092,0.171,3532
1096,24.670,8159
1097,85.148,8154
1098,0.444,8144
1106,0.861,8020
1107,0.081,3728
1108,0.063,4775
1113,0.143,6348
1114,0.086,5250
1116,27.404,8065
1117,0.559,7764
1118,0.401,7053
1119,27.083,8049
1120,0.604,7468
1130,1.377,7874
1137,0.353,7942
1142,0.041,7303
1144,1.206,7862
1145,20.219,7902
1156,0.690,7790
1160,30.831,7793
1171,26.496,7717
1174,24.489,7689
1180,27.156,7668
1186,0.194,7097
1192,27.593,7597
1194,33.395,7589
1196,32.253,7579
1197,0.048,6330
1198,28.858,7571
1200,0.073,4122
1203,0.216,1392
1204,0.099,6085
1206,1.035,7276
1208,0.221,7492
1209,1.137,7495
1211,24.075,7514
1221,0.924,7447
1230,0.099,2989
1233,79.520,7396
1234,1.140,6547
1237,0.133,2252
1242,0.286,7344
1247,0.399,378
1249,0.939,6956
1251,0.072,4222
1260,57.689,7242
1261,0.964,7187
1268,45.940,7195
1273,0.475,6945
1280,0.156,5812
1281,0.266,2265
1289,41.623,7094
1302,20.043,7051
1303,0.791,6094
1312,1.057,6491
1313,27.201,7019
1315,0.611,5778
1316,0.041,7005
1317,0.628,6746
1318,29.609,6995
1325,31.239,6979
1327,0.773,1736
1333,0.078,3853
1336,26.161,6929
1338,33.471,6888
1350,0.086,3515
1352,0.569,6348
1358,0.308,6837
1359,1.117,6849
1364,0.193,6618
1366,25.968,6816
1367,29.381,6816
1380,0.950,6467
1393,36.398,6706
1404,0.006,5608
1412,0.137,6604
1417,0.117,5160
1427,0.224,1128
1432,0.457,6234
1433,0.338,5347
1448,0.466,6460
1456,21.026,6446
1460,0.084,3876
1475,0.375,794
1482,0.596,6193
1487,28.513,6322
1496,1.200,5809
1497,0.861,4896
1501,1.197,6147
1512,70.172,6226
1523,21.992,6193
1529,0.537,6110
1534,0.822,6042
1535,0.145,4157
1536,0.211,1429
1542,88.005,6144
1552,0.783,5945
1557,0.052,5790
1563,0.364,5785
1564,0.094,3223
1604,0.210,1441
1625,24.975,5927
1627,0.769,5288
1628,0.511,5830
1631,27.767,5889
1636,0.661,5875
1639,24.844,5852
1641,0.717,421
1657,22.056,5793
1659,25.479,5790
1660,28.186,5789
1669,0.683,5712
1674,57.113,5739
1687,0.340,2655
1688,20.723,5701
1697,55.021,5674
1698,0.573,5268
1701,0.484,5669
1744,42.890,5548
1746,39.031,5541
1749,0.213,2831
1755,24.641,5517
1757,0.204,4732
1784,1.495,5022
1795,0.766,5077
1810,21.627,5362
1817,0.943,4191
1818,26.966,5344
1828,55.793,5303
1831,1.075,5179
1833,0.104,2913
1846,0.487,5170
1847,0.901,4845
1853,0.570,4200
1856,0.079,3809
1862,0.706,4619
1876,27.915,5215
1886,0.123,2457
1898,0.079,3812
1903,1.096,5092
1950,39.849,5028
1970,0.925,3926
1996,0.696,4850
1999,0.271,1113
2003,0.984,3972
2011,1.066,3044
2027,1.213,4470
2028,33.310,4839
2048,0.145,2071
2049,29.134,4815
2056,0.063,4741
2065,7.349,4380
2078,1.776,4055
2090,78.104,4697
2092,0.560,4569
2100,39.869,4665
2115,0.096,3149
2117,27.601,4627
2119,19.365,4624
2136,0.692,4525
2138,43.821,4585
2174,1.231,3535
2177,0.276,4513
2181,28.556,4509
2184,26.014,4508
2187,0.309,4497
2191,0.218,2008
2193,1.247,3618
2201,0.102,4410
2210,0.309,4384
2250,38.465,4399
2266,1.301,4259
2267,0.464,649
2271,0.518,3157
2291,0.202,2418
2294,0.957,4195
2304,0.391,3285
2313,44.206,4311
2315,0.863,4249
2320,18.657,4302
2321,22.753,4301
2323,0.140,4296
2324,0.674,4296
2325,0.279,1074
2330,0.446,4053
2351,24.809,4246
2367,20.747,4220
2371,65.013,4218
2373,0.275,2188
2375,0.151,2387
2385,0.084,3562
2408,46.431,4182
2419,1.217,493
2442,23.578,4131
2443,0.230,3854
2451,109.235,4115
2466,30.950,4102
2470,0.241,1878
2476,0.813,4075
2489,30.340,4070
2505,0.554,3812
2511,0.544,3876
2514,23.934,4027
2515,19.334,4026
2526,0.169,1786
2544,0.380,3960
2545,35.393,3995
2552,31.557,3987
2556,0.318,1897
2567,26.635,3961
2569,26.622,3959
2614,38.651,3910
2616,26.271,3909
2643,0.120,2516
2646,0.339,1334
2649,79.183,3879
2651,35.113,3874
2655,1.385,3214
2658,0.853,3868
2667,24.526,3849
2673,0.155,1559
2683,1.349,3350
2689,0.403,3741
2708,21.888,3789
2716,30.151,3781
2729,0.668,1354
2736,0.236,3118
2750,55.281,3739
2777,0.119,2514
2796,0.478,2735
2806,0.209,3603
2812,0.176,1700
